episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
0,71,1.000000,1.000000,568,568
1,45,0.995000,1.000000,360,928
2,49,0.990025,1.000000,392,1320
3,43,0.985075,1.000000,344,1664
4,45,0.980150,1.000000,360,2024
5,44,0.975249,1.000000,352,2376
6,44,0.970373,1.000000,352,2728
7,45,0.965521,1.000000,360,3088
8,59,0.960693,1.000000,472,3560
9,44,0.955890,1.000000,352,3912
10,50,0.951110,1.000000,400,4312
11,55,0.946355,1.000000,440,4752
12,47,0.941623,1.000000,376,5128
13,47,0.936915,1.000000,376,5504
14,43,0.932230,1.000000,344,5848
15,48,0.927569,1.000000,384,6232
16,46,0.922931,1.000000,368,6600
17,49,0.918316,1.000000,392,6992
18,74,0.913725,1.000000,592,7584
19,43,0.909156,1.000000,344,7928
20,46,0.904610,1.000000,368,8296
21,48,0.900087,1.000000,384,8680
22,46,0.895587,1.000000,368,9048
23,45,0.891109,1.000000,360,9408
24,46,0.886654,1.000000,368,9776
25,49,0.882220,1.000000,392,10168
26,82,0.877809,1.000000,656,10824
27,45,0.873420,1.000000,360,11184
28,47,0.869053,1.000000,376,11560
29,53,0.864708,1.000000,424,11984
30,45,0.860384,1.000000,360,12344
31,45,0.856082,1.000000,360,12704
32,48,0.851802,1.000000,384,13088
33,49,0.847543,1.000000,392,13480
34,48,0.843305,1.000000,384,13864
35,51,0.839089,1.000000,408,14272
36,47,0.834893,1.000000,376,14648
37,45,0.830719,1.000000,360,15008
38,49,0.826565,1.000000,392,15400
39,49,0.822432,1.000000,392,15792
40,47,0.818320,1.000000,376,16168
41,78,0.814229,1.000000,624,16792
42,44,0.810157,1.000000,352,17144
43,68,0.806107,1.000000,544,17688
44,48,0.802076,1.000000,384,18072
45,70,0.798066,1.000000,560,18632
46,48,0.794075,1.000000,384,19016
47,53,0.790105,1.000000,424,19440
48,54,0.786154,1.000000,432,19872
49,49,0.782224,1.000000,392,20264
50,81,0.778313,1.000000,648,20912
51,53,0.774421,1.000000,424,21336
52,45,0.770549,1.000000,360,21696
53,49,0.766696,1.000000,392,22088
54,43,0.762863,1.000000,344,22432
55,68,0.759048,1.000000,544,22976
56,64,0.755253,1.000000,512,23488
57,46,0.751477,1.000000,368,23856
58,44,0.747719,1.000000,352,24208
59,45,0.743981,1.000000,360,24568
60,47,0.740261,1.000000,376,24944
61,44,0.736560,1.000000,352,25296
62,48,0.732877,1.000000,384,25680
63,49,0.729212,1.000000,392,26072
64,68,0.725566,1.000000,544,26616
65,48,0.721939,1.000000,384,27000
66,58,0.718329,1.000000,464,27464
67,51,0.714737,1.000000,408,27872
68,46,0.711164,1.000000,368,28240
69,86,0.707608,1.000000,688,28928
70,66,0.704070,1.000000,528,29456
71,44,0.700549,1.000000,352,29808
72,45,0.697047,1.000000,360,30168
73,73,0.693561,1.000000,584,30752
74,42,0.690094,1.000000,336,31088
75,43,0.686643,1.000000,344,31432
76,57,0.683210,1.000000,456,31888
