episode,completed_live_agent_steps
0,345
100,34471
200,72865
300,125909
400,188691
500,257904
600,331245
700,406868
800,483804
900,561736
1000,640057
1100,718196
1200,796419
1300,874727
1400,952992
1500,1031292
1600,1109623
1700,1187926
1722,1204116
1800,1264886
1900,1343179
2000,1421389
2100,1499550
2200,1577533
2300,1655527
2400,1733615
2500,1811931
2600,1890034
2700,1967915
2800,2045253
2900,2123430
3000,2201689
3100,2278637
