episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
0,43,1.000000,1.000000,344,344
1,47,0.995000,1.000000,376,720
2,46,0.990025,1.000000,368,1088
3,45,0.985075,1.000000,360,1448
4,43,0.980150,1.000000,344,1792
5,50,0.975249,1.000000,400,2192
6,49,0.970373,1.000000,392,2584
7,49,0.965521,1.000000,392,2976
8,46,0.960693,1.000000,368,3344
9,61,0.955890,1.000000,488,3832
10,45,0.951110,1.000000,360,4192
11,44,0.946355,1.000000,352,4544
12,43,0.941623,1.000000,344,4888
13,46,0.936915,1.000000,368,5256
14,45,0.932230,1.000000,360,5616
15,47,0.927569,1.000000,376,5992
16,52,0.922931,1.000000,416,6408
17,46,0.918316,1.000000,368,6776
18,67,0.913725,1.000000,536,7312
19,44,0.909156,1.000000,352,7664
20,63,0.904610,1.000000,504,8168
21,52,0.900087,1.000000,416,8584
22,44,0.895587,1.000000,352,8936
23,47,0.891109,1.000000,376,9312
24,69,0.886654,1.000000,552,9864
25,61,0.882220,1.000000,488,10352
26,61,0.877809,1.000000,488,10840
27,46,0.873420,1.000000,368,11208
28,46,0.869053,1.000000,368,11576
29,46,0.864708,1.000000,368,11944
30,51,0.860384,1.000000,408,12352
31,72,0.856082,1.000000,576,12928
32,46,0.851802,1.000000,368,13296
33,46,0.847543,1.000000,368,13664
34,49,0.843305,1.000000,392,14056
35,56,0.839089,1.000000,448,14504
36,48,0.834893,1.000000,384,14888
37,44,0.830719,1.000000,352,15240
38,68,0.826565,1.000000,544,15784
39,71,0.822432,1.000000,568,16352
40,52,0.818320,1.000000,416,16768
41,48,0.814229,1.000000,384,17152
42,48,0.810157,1.000000,384,17536
43,52,0.806107,1.000000,416,17952
44,72,0.802076,1.000000,576,18528
45,47,0.798066,1.000000,376,18904
46,68,0.794075,1.000000,544,19448
47,69,0.790105,1.000000,552,20000
48,43,0.786154,1.000000,344,20344
49,47,0.782224,1.000000,376,20720
50,52,0.778313,1.000000,416,21136
51,48,0.774421,1.000000,384,21520
52,44,0.770549,1.000000,352,21872
53,45,0.766696,1.000000,360,22232
54,44,0.762863,1.000000,352,22584
55,46,0.759048,1.000000,368,22952
56,44,0.755253,1.000000,352,23304
57,66,0.751477,1.000000,528,23832
58,46,0.747719,1.000000,368,24200
59,53,0.743981,1.000000,424,24624
60,75,0.740261,1.000000,600,25224
61,45,0.736560,1.000000,360,25584
62,47,0.732877,1.000000,376,25960
63,64,0.729212,1.000000,512,26472
64,51,0.725566,1.000000,408,26880
65,51,0.721939,1.000000,408,27288
66,63,0.718329,1.000000,504,27792
67,49,0.714737,1.000000,392,28184
68,47,0.711164,1.000000,376,28560
69,49,0.707608,1.000000,392,28952
70,41,0.704070,1.000000,328,29280
71,43,0.700549,1.000000,344,29624
72,43,0.697047,1.000000,344,29968
73,49,0.693561,1.000000,392,30360
74,73,0.690094,1.000000,584,30944
75,51,0.686643,1.000000,408,31352
76,47,0.683210,1.000000,376,31728
77,79,0.679794,1.000000,632,32360
78,55,0.676395,1.000000,440,32800
79,46,0.673013,1.000000,368,33168
80,45,0.669648,1.000000,360,33528
81,54,0.666300,1.000000,432,33960
82,64,0.662968,1.000000,512,34472
83,43,0.659653,1.000000,344,34816
84,43,0.656355,1.000000,344,35160
85,47,0.653073,1.000000,376,35536
86,44,0.649808,1.000000,352,35888
87,45,0.646559,1.000000,360,36248
88,48,0.643326,1.000000,384,36632
89,44,0.640109,1.000000,352,36984
90,49,0.636909,1.000000,392,37376
91,55,0.633724,1.000000,440,37816
92,48,0.630556,1.000000,384,38200
93,44,0.627403,1.000000,352,38552
94,55,0.624266,1.000000,440,38992
95,46,0.621145,1.000000,368,39360
96,46,0.618039,1.000000,368,39728
97,50,0.614949,1.000000,400,40128
98,52,0.611874,1.000000,416,40544
99,50,0.608815,1.000000,400,40944
100,55,0.605770,1.000000,440,41384
101,49,0.602742,1.000000,392,41776
102,45,0.599728,1.000000,360,42136
103,64,0.596729,1.000000,512,42648
104,75,0.593746,1.000000,600,43248
105,49,0.590777,1.000000,392,43640
106,52,0.587823,1.000000,416,44056
107,53,0.584884,1.000000,424,44480
108,47,0.581959,1.000000,376,44856
109,44,0.579050,1.000000,352,45208
110,74,0.576154,1.000000,592,45800
111,51,0.573274,1.000000,408,46208
112,52,0.570407,1.000000,416,46624
113,47,0.567555,1.000000,376,47000
114,51,0.564717,1.000000,408,47408
115,48,0.561894,1.000000,384,47792
116,43,0.559084,1.000000,344,48136
117,51,0.556289,1.000000,408,48544
118,109,0.553508,1.000000,872,49416
119,64,0.550740,1.000000,512,49928
120,70,0.547986,1.000000,560,50488
121,91,0.545246,1.000000,728,51216
122,51,0.542520,1.000000,408,51624
123,51,0.539808,1.000000,408,52032
124,76,0.537108,1.000000,608,52640
125,60,0.534423,1.000000,480,53120
126,80,0.531751,1.000000,640,53760
127,46,0.529092,1.000000,368,54128
128,47,0.526447,1.000000,376,54504
129,55,0.523814,1.000000,440,54944
130,70,0.521195,1.000000,560,55504
131,48,0.518589,1.000000,384,55888
132,70,0.515996,1.000000,560,56448
133,48,0.513416,1.000000,384,56832
134,51,0.510849,1.000000,408,57240
135,53,0.508295,1.000000,424,57664
136,51,0.505754,1.000000,408,58072
137,108,0.503225,1.000000,864,58936
138,67,0.500709,1.000000,536,59472
139,67,0.498205,1.000000,536,60008
140,70,0.495714,1.000000,560,60568
141,57,0.493236,1.000000,456,61024
142,57,0.490769,1.000000,456,61480
143,73,0.488316,1.000000,584,62064
144,51,0.485874,1.000000,408,62472
145,50,0.483445,1.000000,400,62872
146,46,0.481027,1.000000,368,63240
147,51,0.478622,1.000000,408,63648
148,57,0.476229,1.000000,456,64104
149,55,0.473848,1.000000,440,64544
150,54,0.471479,1.000000,432,64976
151,53,0.469121,1.000000,424,65400
152,59,0.466776,1.000000,472,65872
153,68,0.464442,1.000000,544,66416
154,65,0.462120,1.000000,520,66936
155,44,0.459809,1.000000,352,67288
156,53,0.457510,1.000000,424,67712
157,67,0.455222,1.000000,536,68248
158,75,0.452946,1.000000,600,68848
159,58,0.450682,1.000000,464,69312
160,47,0.448428,1.000000,376,69688
161,73,0.446186,1.000000,584,70272
162,57,0.443955,1.000000,456,70728
163,114,0.441735,1.000000,912,71640
164,43,0.439527,1.000000,344,71984
165,63,0.437329,1.000000,504,72488
166,64,0.435142,1.000000,512,73000
167,66,0.432967,1.000000,528,73528
168,63,0.430802,1.000000,504,74032
169,143,0.428648,1.000000,1144,75176
170,63,0.426505,1.000000,504,75680
171,55,0.424372,1.000000,440,76120
172,63,0.422250,1.000000,504,76624
173,82,0.420139,1.000000,656,77280
174,62,0.418038,1.000000,496,77776
175,61,0.415948,1.000000,488,78264
176,59,0.413868,1.000000,472,78736
177,59,0.411799,1.000000,472,79208
178,95,0.409740,1.000000,760,79968
179,80,0.407691,1.000000,640,80608
180,57,0.405653,1.000000,456,81064
181,57,0.403625,1.000000,456,81520
182,63,0.401606,1.000000,504,82024
183,69,0.399598,1.000000,552,82576
184,82,0.397600,1.000000,656,83232
185,90,0.395612,1.000000,720,83952
186,63,0.393634,1.000000,504,84456
187,53,0.391666,1.000000,424,84880
188,58,0.389708,1.000000,464,85344
189,97,0.387759,1.000000,776,86120
190,61,0.385821,1.000000,488,86608
191,58,0.383891,1.000000,464,87072
192,52,0.381972,1.000000,416,87488
193,97,0.380062,1.000000,776,88264
194,60,0.378162,1.000000,480,88744
195,59,0.376271,1.000000,472,89216
196,64,0.374390,1.000000,512,89728
197,62,0.372518,1.000000,496,90224
198,61,0.370655,1.000000,488,90712
199,74,0.368802,1.000000,592,91304
200,100,0.366958,1.000000,800,92104
201,89,0.365123,1.000000,712,92816
202,93,0.363297,1.000000,744,93560
203,108,0.361481,1.000000,864,94424
204,66,0.359674,1.000000,528,94952
205,53,0.357875,1.000000,424,95376
206,70,0.356086,1.000000,560,95936
207,61,0.354305,1.000000,488,96424
208,67,0.352534,1.000000,536,96960
209,64,0.350771,1.000000,512,97472
210,67,0.349017,1.000000,536,98008
211,68,0.347272,1.000000,544,98552
212,70,0.345536,1.000000,560,99112
213,62,0.343808,1.000000,496,99608
214,59,0.342089,1.000000,472,100080
215,72,0.340379,1.000000,576,100656
216,78,0.338677,1.000000,624,101280
217,67,0.336983,1.000000,536,101816
218,78,0.335298,1.000000,624,102440
219,66,0.333622,1.000000,528,102968
220,73,0.331954,1.000000,584,103552
221,70,0.330294,1.000000,560,104112
222,108,0.328643,1.000000,864,104976
223,70,0.326999,1.000000,560,105536
224,92,0.325364,1.000000,736,106272
225,72,0.323738,1.000000,576,106848
226,72,0.322119,1.000000,576,107424
227,80,0.320508,1.000000,640,108064
228,72,0.318906,1.000000,576,108640
229,134,0.317311,1.000000,1072,109712
230,67,0.315725,1.000000,536,110248
231,72,0.314146,1.000000,576,110824
232,72,0.312575,1.000000,576,111400
233,72,0.311012,1.000000,576,111976
234,76,0.309457,1.000000,608,112584
235,68,0.307910,1.000000,544,113128
236,70,0.306371,1.000000,560,113688
237,94,0.304839,1.000000,752,114440
238,110,0.303315,1.000000,880,115320
239,112,0.301798,1.000000,896,116216
240,80,0.300289,1.000000,640,116856
241,74,0.298788,1.000000,592,117448
242,114,0.297294,1.000000,912,118360
243,72,0.295807,1.000000,576,118936
244,109,0.294328,1.000000,872,119808
245,77,0.292856,1.000000,616,120424
246,77,0.291392,1.000000,616,121040
247,119,0.289935,1.000000,952,121992
248,71,0.288486,1.000000,568,122560
249,72,0.287043,1.000000,576,123136
250,78,0.285608,1.000000,624,123760
251,82,0.284180,1.000000,656,124416
252,76,0.282759,1.000000,608,125024
253,80,0.281345,1.000000,640,125664
254,78,0.279938,1.000000,624,126288
255,78,0.278539,1.000000,624,126912
256,78,0.277146,1.000000,624,127536
257,115,0.275760,1.000000,920,128456
258,82,0.274382,1.000000,656,129112
259,72,0.273010,1.000000,576,129688
260,76,0.271645,1.000000,608,130296
261,70,0.270286,1.000000,560,130856
262,82,0.268935,1.000000,656,131512
263,78,0.267590,1.000000,624,132136
264,114,0.266252,1.000000,912,133048
265,80,0.264921,1.000000,640,133688
266,82,0.263596,1.000000,656,134344
267,82,0.262278,1.000000,656,135000
268,80,0.260967,1.000000,640,135640
269,78,0.259662,1.000000,624,136264
270,76,0.258364,1.000000,608,136872
271,82,0.257072,1.000000,656,137528
272,82,0.255787,1.000000,656,138184
273,84,0.254508,1.000000,672,138856
274,88,0.253235,1.000000,704,139560
275,84,0.251969,1.000000,672,140232
276,86,0.250709,1.000000,688,140920
277,74,0.249456,1.000000,592,141512
278,90,0.248208,1.000000,720,142232
279,82,0.246967,1.000000,656,142888
280,84,0.245733,1.000000,672,143560
281,86,0.244504,1.000000,688,144248
282,80,0.243281,1.000000,640,144888
283,79,0.242065,1.000000,632,145520
284,76,0.240855,1.000000,608,146128
285,91,0.239650,1.000000,728,146856
286,128,0.238452,1.000000,1024,147880
287,82,0.237260,1.000000,656,148536
288,78,0.236074,1.000000,624,149160
289,80,0.234893,1.000000,640,149800
290,153,0.233719,1.000000,1224,151024
291,84,0.232550,1.000000,672,151696
292,80,0.231387,1.000000,640,152336
293,82,0.230230,1.000000,656,152992
294,80,0.229079,1.000000,640,153632
295,145,0.227934,1.000000,1160,154792
296,84,0.226794,1.000000,672,155464
297,82,0.225660,1.000000,656,156120
298,86,0.224532,1.000000,688,156808
299,81,0.223409,1.000000,648,157456
300,144,0.222292,1.000000,1152,158608
301,89,0.221181,1.000000,712,159320
302,80,0.220075,1.000000,640,159960
303,128,0.218974,1.000000,1024,160984
304,80,0.217880,1.000000,640,161624
305,78,0.216790,1.000000,624,162248
306,108,0.215706,1.000000,864,163112
307,78,0.214628,1.000000,624,163736
308,84,0.213555,1.000000,672,164408
309,151,0.212487,1.000000,1208,165616
310,88,0.211424,1.000000,704,166320
311,135,0.210367,1.000000,1080,167400
312,76,0.209315,1.000000,608,168008
313,88,0.208269,1.000000,704,168712
314,98,0.207227,1.000000,784,169496
315,116,0.206191,1.000000,928,170424
316,97,0.205160,1.000000,776,171200
317,119,0.204135,1.000000,952,172152
318,147,0.203114,1.000000,1176,173328
319,144,0.202098,1.000000,1152,174480
320,90,0.201088,1.000000,720,175200
321,86,0.200082,1.000000,688,175888
322,107,0.199082,1.000000,856,176744
323,115,0.198087,1.000000,920,177664
324,151,0.197096,1.000000,1208,178872
325,99,0.196111,1.000000,792,179664
326,90,0.195130,1.000000,720,180384
327,81,0.194154,1.000000,648,181032
328,122,0.193184,1.000000,976,182008
329,84,0.192218,1.000000,672,182680
330,81,0.191257,1.000000,648,183328
331,90,0.190300,1.000000,720,184048
332,82,0.189349,1.000000,656,184704
333,84,0.188402,1.000000,672,185376
334,84,0.187460,1.000000,672,186048
335,84,0.186523,1.000000,672,186720
336,84,0.185590,1.000000,672,187392
337,115,0.184662,1.000000,920,188312
338,84,0.183739,1.000000,672,188984
339,154,0.182820,1.000000,1232,190216
340,86,0.181906,1.000000,688,190904
341,88,0.180997,1.000000,704,191608
342,134,0.180092,1.000000,1072,192680
343,84,0.179191,1.000000,672,193352
344,155,0.178295,1.000000,1240,194592
345,92,0.177404,1.000000,736,195328
346,84,0.176517,1.000000,672,196000
347,84,0.175634,1.000000,672,196672
348,86,0.174756,1.000000,688,197360
349,128,0.173882,1.000000,1024,198384
350,86,0.173013,1.000000,688,199072
351,88,0.172148,1.000000,704,199776
352,91,0.171287,1.000000,728,200504
353,88,0.170431,1.000000,704,201208
354,86,0.169578,1.000000,688,201896
355,96,0.168731,1.000000,768,202664
356,90,0.167887,1.000000,720,203384
357,142,0.167047,1.000000,1136,204520
358,94,0.166212,1.000000,752,205272
359,152,0.165381,1.000000,1216,206488
360,137,0.164554,1.000000,1096,207584
361,106,0.163731,1.000000,848,208432
362,90,0.162913,1.000000,720,209152
363,90,0.162098,1.000000,720,209872
364,86,0.161288,1.000000,688,210560
365,86,0.160481,1.000000,688,211248
366,154,0.159679,1.000000,1232,212480
367,151,0.158881,1.000000,1208,213688
368,90,0.158086,1.000000,720,214408
369,130,0.157296,1.000000,1040,215448
370,94,0.156509,1.000000,752,216200
371,156,0.155727,1.000000,1248,217448
372,109,0.154948,1.000000,872,218320
373,87,0.154173,1.000000,696,219016
374,119,0.153402,1.000000,952,219968
375,86,0.152635,1.000000,688,220656
376,86,0.151872,1.000000,688,221344
377,147,0.151113,1.000000,1176,222520
