episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
0,45,1.000000,1.000000,360,360
1,44,0.995000,1.000000,352,712
2,59,0.990025,1.000000,472,1184
3,67,0.985075,1.000000,536,1720
4,45,0.980150,1.000000,360,2080
5,46,0.975249,1.000000,368,2448
6,48,0.970373,1.000000,384,2832
7,45,0.965521,1.000000,360,3192
8,68,0.960693,1.000000,544,3736
9,43,0.955890,1.000000,344,4080
10,42,0.951110,1.000000,336,4416
11,80,0.946355,1.000000,640,5056
12,66,0.941623,1.000000,528,5584
13,45,0.936915,1.000000,360,5944
14,45,0.932230,1.000000,360,6304
15,47,0.927569,1.000000,376,6680
16,45,0.922931,1.000000,360,7040
17,46,0.918316,1.000000,368,7408
18,105,0.913725,1.000000,840,8248
19,43,0.909156,1.000000,344,8592
20,68,0.904610,1.000000,544,9136
21,45,0.900087,1.000000,360,9496
22,43,0.895587,1.000000,344,9840
23,44,0.891109,1.000000,352,10192
24,49,0.886654,1.000000,392,10584
25,49,0.882220,1.000000,392,10976
26,49,0.877809,1.000000,392,11368
27,47,0.873420,1.000000,376,11744
28,43,0.869053,1.000000,344,12088
29,44,0.864708,1.000000,352,12440
30,44,0.860384,1.000000,352,12792
31,46,0.856082,1.000000,368,13160
32,77,0.851802,1.000000,616,13776
33,61,0.847543,1.000000,488,14264
34,46,0.843305,1.000000,368,14632
35,46,0.839089,1.000000,368,15000
36,49,0.834893,1.000000,392,15392
37,43,0.830719,1.000000,344,15736
38,45,0.826565,1.000000,360,16096
39,49,0.822432,1.000000,392,16488
40,80,0.818320,1.000000,640,17128
41,45,0.814229,1.000000,360,17488
42,47,0.810157,1.000000,376,17864
43,48,0.806107,1.000000,384,18248
44,68,0.802076,1.000000,544,18792
45,43,0.798066,1.000000,344,19136
46,43,0.794075,1.000000,344,19480
47,49,0.790105,1.000000,392,19872
48,70,0.786154,1.000000,560,20432
49,70,0.782224,1.000000,560,20992
50,42,0.778313,1.000000,336,21328
51,45,0.774421,1.000000,360,21688
52,47,0.770549,1.000000,376,22064
53,72,0.766696,1.000000,576,22640
54,43,0.762863,1.000000,344,22984
55,46,0.759048,1.000000,368,23352
56,47,0.755253,1.000000,376,23728
57,41,0.751477,1.000000,328,24056
58,48,0.747719,1.000000,384,24440
59,44,0.743981,1.000000,352,24792
60,44,0.740261,1.000000,352,25144
61,51,0.736560,1.000000,408,25552
62,51,0.732877,1.000000,408,25960
63,45,0.729212,1.000000,360,26320
64,62,0.725566,1.000000,496,26816
65,45,0.721939,1.000000,360,27176
66,54,0.718329,1.000000,432,27608
67,55,0.714737,1.000000,440,28048
68,48,0.711164,1.000000,384,28432
69,77,0.707608,1.000000,616,29048
70,48,0.704070,1.000000,384,29432
71,53,0.700549,1.000000,424,29856
72,57,0.697047,1.000000,456,30312
73,48,0.693561,1.000000,384,30696
74,48,0.690094,1.000000,384,31080
75,49,0.686643,1.000000,392,31472
76,51,0.683210,1.000000,408,31880
77,51,0.679794,1.000000,408,32288
78,49,0.676395,1.000000,392,32680
79,49,0.673013,1.000000,392,33072
80,42,0.669648,1.000000,336,33408
81,48,0.666300,1.000000,384,33792
82,45,0.662968,1.000000,360,34152
83,53,0.659653,1.000000,424,34576
84,65,0.656355,1.000000,520,35096
85,50,0.653073,1.000000,400,35496
86,55,0.649808,1.000000,440,35936
87,45,0.646559,1.000000,360,36296
88,47,0.643326,1.000000,376,36672
89,49,0.640109,1.000000,392,37064
90,81,0.636909,1.000000,648,37712
91,51,0.633724,1.000000,408,38120
92,47,0.630556,1.000000,376,38496
93,70,0.627403,1.000000,560,39056
94,43,0.624266,1.000000,344,39400
95,51,0.621145,1.000000,408,39808
96,49,0.618039,1.000000,392,40200
97,51,0.614949,1.000000,408,40608
98,44,0.611874,1.000000,352,40960
99,86,0.608815,1.000000,688,41648
100,43,0.605770,1.000000,344,41992
101,68,0.602742,1.000000,544,42536
