episode,completed_live_agent_steps
0,306
100,33056
200,68127
300,114847
400,177670
500,242043
600,312185
700,381742
800,456485
900,532364
1000,609101
1100,684889
1200,759959
1300,834418
1400,907869
1500,983199
1600,1058213
1700,1133873
1763,1181395
1800,1209500
1900,1285522
2000,1361223
2100,1437040
2200,1513091
2300,1589776
2400,1666092
2500,1741393
2600,1817007
2700,1893695
2800,1970039
2900,2046464
3000,2123007
3100,2199072
3200,2275024
3206,2278638
