episode,batch_episode_steps,epsilon,intrinsic_weight
226,41,0.322119,1.000000
227,61,0.320508,1.000000
228,64,0.318906,1.000000
229,49,0.317311,1.000000
230,51,0.315725,1.000000
231,49,0.314146,1.000000
232,49,0.312575,1.000000
233,49,0.311012,1.000000
234,66,0.309457,1.000000
235,56,0.307910,1.000000
236,57,0.306371,1.000000
237,59,0.304839,1.000000
238,72,0.303315,1.000000
239,59,0.301798,1.000000
240,62,0.300289,1.000000
241,59,0.298788,1.000000
242,57,0.297294,1.000000
243,62,0.295807,1.000000
244,63,0.294328,1.000000
245,70,0.292856,1.000000
246,66,0.291392,1.000000
247,63,0.289935,1.000000
248,67,0.288486,1.000000
249,68,0.287043,1.000000
250,67,0.285608,1.000000
251,67,0.284180,1.000000
252,63,0.282759,1.000000
253,72,0.281345,1.000000
254,70,0.279938,1.000000
255,72,0.278539,1.000000
256,72,0.277146,1.000000
257,77,0.275760,1.000000
258,72,0.274382,1.000000
259,67,0.273010,1.000000
260,67,0.271645,1.000000
261,74,0.270286,1.000000
262,67,0.268935,1.000000
263,70,0.267590,1.000000
264,75,0.266252,1.000000
265,68,0.264921,1.000000
266,78,0.263596,1.000000
267,80,0.262278,1.000000
268,78,0.260967,1.000000
269,74,0.259662,1.000000
270,78,0.258364,1.000000
271,76,0.257072,1.000000
272,80,0.255787,1.000000
273,76,0.254508,1.000000
274,82,0.253235,1.000000
275,77,0.251969,1.000000
276,76,0.250709,1.000000
277,82,0.249456,1.000000
278,78,0.248208,1.000000
279,78,0.246967,1.000000
280,106,0.245733,1.000000
281,131,0.244504,1.000000
282,84,0.243281,1.000000
283,49,0.242065,1.000000
284,49,0.240855,1.000000
285,61,0.239650,1.000000
286,72,0.238452,1.000000
287,72,0.237260,1.000000
288,72,0.236074,1.000000
289,88,0.234893,1.000000
290,70,0.233719,1.000000
291,105,0.232550,1.000000
292,76,0.231387,1.000000
293,75,0.230230,1.000000
294,82,0.229079,1.000000
295,78,0.227934,1.000000
296,84,0.226794,1.000000
297,86,0.225660,1.000000
298,79,0.224532,1.000000
299,78,0.223409,1.000000
300,77,0.222292,1.000000
301,125,0.221181,1.000000
302,77,0.220075,1.000000
303,82,0.218974,1.000000
304,78,0.217880,1.000000
305,80,0.216790,1.000000
306,78,0.215706,1.000000
