episode,completed_live_agent_steps
0,395
100,34845
200,74581
300,129036
400,192816
500,262297
600,335375
700,410949
800,488236
900,566324
1000,644760
1100,723485
1200,801958
1300,880428
1400,958918
1500,1037458
1600,1115806
1700,1194459
1800,1272925
1900,1351347
2000,1429714
2100,1508134
2200,1586667
2300,1664983
2400,1743536
2500,1822176
2600,1900743
2700,1979249
2800,2058016
2900,2136678
3000,2215173
3082,2278639
