episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
0,45,1.000000,1.000000,360,360
1,44,0.995000,1.000000,352,712
2,55,0.990025,1.000000,440,1152
3,46,0.985075,1.000000,368,1520
4,54,0.980150,1.000000,432,1952
5,46,0.975249,1.000000,368,2320
6,47,0.970373,1.000000,376,2696
7,46,0.965521,1.000000,368,3064
8,65,0.960693,1.000000,520,3584
9,45,0.955890,1.000000,360,3944
10,70,0.951110,1.000000,560,4504
11,62,0.946355,1.000000,496,5000
12,46,0.941623,1.000000,368,5368
13,44,0.936915,1.000000,352,5720
14,46,0.932230,1.000000,368,6088
15,45,0.927569,1.000000,360,6448
16,44,0.922931,1.000000,352,6800
17,46,0.918316,1.000000,368,7168
18,48,0.913725,1.000000,384,7552
19,69,0.909156,1.000000,552,8104
20,43,0.904610,1.000000,344,8448
21,46,0.900087,1.000000,368,8816
22,43,0.895587,1.000000,344,9160
23,45,0.891109,1.000000,360,9520
24,64,0.886654,1.000000,512,10032
25,68,0.882220,1.000000,544,10576
26,43,0.877809,1.000000,344,10920
27,64,0.873420,1.000000,512,11432
28,62,0.869053,1.000000,496,11928
29,43,0.864708,1.000000,344,12272
30,46,0.860384,1.000000,368,12640
31,63,0.856082,1.000000,504,13144
32,44,0.851802,1.000000,352,13496
33,47,0.847543,1.000000,376,13872
34,46,0.843305,1.000000,368,14240
35,52,0.839089,1.000000,416,14656
36,53,0.834893,1.000000,424,15080
37,55,0.830719,1.000000,440,15520
38,46,0.826565,1.000000,368,15888
39,58,0.822432,1.000000,464,16352
40,44,0.818320,1.000000,352,16704
41,47,0.814229,1.000000,376,17080
42,47,0.810157,1.000000,376,17456
43,49,0.806107,1.000000,392,17848
44,49,0.802076,1.000000,392,18240
45,50,0.798066,1.000000,400,18640
46,79,0.794075,1.000000,632,19272
47,45,0.790105,1.000000,360,19632
48,56,0.786154,1.000000,448,20080
49,77,0.782224,1.000000,616,20696
50,67,0.778313,1.000000,536,21232
51,47,0.774421,1.000000,376,21608
52,47,0.770549,1.000000,376,21984
53,73,0.766696,1.000000,584,22568
54,45,0.762863,1.000000,360,22928
55,49,0.759048,1.000000,392,23320
56,91,0.755253,1.000000,728,24048
57,78,0.751477,1.000000,624,24672
58,72,0.747719,1.000000,576,25248
59,46,0.743981,1.000000,368,25616
60,48,0.740261,1.000000,384,26000
61,45,0.736560,1.000000,360,26360
62,41,0.732877,1.000000,328,26688
63,49,0.729212,1.000000,392,27080
64,55,0.725566,1.000000,440,27520
65,48,0.721939,1.000000,384,27904
66,49,0.718329,1.000000,392,28296
67,46,0.714737,1.000000,368,28664
68,47,0.711164,1.000000,376,29040
69,44,0.707608,1.000000,352,29392
70,49,0.704070,1.000000,392,29784
71,42,0.700549,1.000000,336,30120
72,49,0.697047,1.000000,392,30512
73,52,0.693561,1.000000,416,30928
74,52,0.690094,1.000000,416,31344
75,47,0.686643,1.000000,376,31720
76,71,0.683210,1.000000,568,32288
77,56,0.679794,1.000000,448,32736
78,53,0.676395,1.000000,424,33160
79,46,0.673013,1.000000,368,33528
80,43,0.669648,1.000000,344,33872
81,65,0.666300,1.000000,520,34392
82,53,0.662968,1.000000,424,34816
83,48,0.659653,1.000000,384,35200
84,62,0.656355,1.000000,496,35696
85,51,0.653073,1.000000,408,36104
86,51,0.649808,1.000000,408,36512
87,48,0.646559,1.000000,384,36896
88,44,0.643326,1.000000,352,37248
89,70,0.640109,1.000000,560,37808
90,49,0.636909,1.000000,392,38200
91,46,0.633724,1.000000,368,38568
92,49,0.630556,1.000000,392,38960
93,47,0.627403,1.000000,376,39336
94,76,0.624266,1.000000,608,39944
95,49,0.621145,1.000000,392,40336
96,43,0.618039,1.000000,344,40680
97,49,0.614949,1.000000,392,41072
98,54,0.611874,1.000000,432,41504
99,57,0.608815,1.000000,456,41960
100,49,0.605770,1.000000,392,42352
101,71,0.602742,1.000000,568,42920
