episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
165,65,0.437329,1.000000,520,75968
166,63,0.435142,1.000000,504,76472
167,61,0.432967,1.000000,488,76960
168,112,0.430802,1.000000,896,77856
169,63,0.428648,1.000000,504,78360
170,56,0.426505,1.000000,448,78808
171,52,0.424372,1.000000,416,79224
172,59,0.422250,1.000000,472,79696
173,64,0.420139,1.000000,512,80208
174,70,0.418038,1.000000,560,80768
175,53,0.415948,1.000000,424,81192
176,55,0.413868,1.000000,440,81632
177,64,0.411799,1.000000,512,82144
178,106,0.409740,1.000000,848,82992
179,59,0.407691,1.000000,472,83464
180,100,0.405653,1.000000,800,84264
181,55,0.403625,1.000000,440,84704
182,62,0.401606,1.000000,496,85200
183,80,0.399598,1.000000,640,85840
184,55,0.397600,1.000000,440,86280
185,67,0.395612,1.000000,536,86816
186,133,0.393634,1.000000,1064,87880
187,53,0.391666,1.000000,424,88304
188,107,0.389708,1.000000,856,89160
189,61,0.387759,1.000000,488,89648
190,51,0.385821,1.000000,408,90056
191,63,0.383891,1.000000,504,90560
192,55,0.381972,1.000000,440,91000
193,57,0.380062,1.000000,456,91456
194,77,0.378162,1.000000,616,92072
195,59,0.376271,1.000000,472,92544
196,67,0.374390,1.000000,536,93080
197,65,0.372518,1.000000,520,93600
198,63,0.370655,1.000000,504,94104
199,70,0.368802,1.000000,560,94664
200,86,0.366958,1.000000,688,95352
201,99,0.365123,1.000000,792,96144
202,53,0.363297,1.000000,424,96568
203,65,0.361481,1.000000,520,97088
204,76,0.359674,1.000000,608,97696
205,115,0.357875,1.000000,920,98616
206,72,0.356086,1.000000,576,99192
207,68,0.354305,1.000000,544,99736
208,66,0.352534,1.000000,528,100264
209,74,0.350771,1.000000,592,100856
210,67,0.349017,1.000000,536,101392
211,83,0.347272,1.000000,664,102056
212,126,0.345536,1.000000,1008,103064
213,107,0.343808,1.000000,856,103920
214,68,0.342089,1.000000,544,104464
215,74,0.340379,1.000000,592,105056
216,74,0.338677,1.000000,592,105648
217,113,0.336983,1.000000,904,106552
218,91,0.335298,1.000000,728,107280
219,146,0.333622,1.000000,1168,108448
220,137,0.331954,1.000000,1096,109544
221,74,0.330294,1.000000,592,110136
222,105,0.328643,1.000000,840,110976
223,74,0.326999,1.000000,592,111568
224,134,0.325364,1.000000,1072,112640
225,74,0.323738,1.000000,592,113232
226,74,0.322119,1.000000,592,113824
227,146,0.320508,1.000000,1168,114992
228,141,0.318906,1.000000,1128,116120
229,113,0.317311,1.000000,904,117024
230,96,0.315725,1.000000,768,117792
231,109,0.314146,1.000000,872,118664
232,91,0.312575,1.000000,728,119392
233,91,0.311012,1.000000,728,120120
234,96,0.309457,1.000000,768,120888
235,84,0.307910,1.000000,672,121560
236,101,0.306371,1.000000,808,122368
237,109,0.304839,1.000000,872,123240
238,78,0.303315,1.000000,624,123864
239,103,0.301798,1.000000,824,124688
240,82,0.300289,1.000000,656,125344
241,149,0.298788,1.000000,1192,126536
242,119,0.297294,1.000000,952,127488
243,72,0.295807,1.000000,576,128064
244,78,0.294328,1.000000,624,128688
245,85,0.292856,1.000000,680,129368
246,80,0.291392,1.000000,640,130008
247,115,0.289935,1.000000,920,130928
248,74,0.288486,1.000000,592,131520
249,112,0.287043,1.000000,896,132416
250,87,0.285608,1.000000,696,133112
251,103,0.284180,1.000000,824,133936
252,79,0.282759,1.000000,632,134568
253,107,0.281345,1.000000,856,135424
254,78,0.279938,1.000000,624,136048
255,82,0.278539,1.000000,656,136704
256,107,0.277146,1.000000,856,137560
257,82,0.275760,1.000000,656,138216
258,96,0.274382,1.000000,768,138984
259,136,0.273010,1.000000,1088,140072
260,76,0.271645,1.000000,608,140680
261,80,0.270286,1.000000,640,141320
262,117,0.268935,1.000000,936,142256
263,84,0.267590,1.000000,672,142928
264,93,0.266252,1.000000,744,143672
265,82,0.264921,1.000000,656,144328
266,80,0.263596,1.000000,640,144968
267,143,0.262278,1.000000,1144,146112
268,78,0.260967,1.000000,624,146736
269,79,0.259662,1.000000,632,147368
270,150,0.258364,1.000000,1200,148568
271,96,0.257072,1.000000,768,149336
272,88,0.255787,1.000000,704,150040
273,85,0.254508,1.000000,680,150720
274,104,0.253235,1.000000,832,151552
275,138,0.251969,1.000000,1104,152656
276,93,0.250709,1.000000,744,153400
277,83,0.249456,1.000000,664,154064
278,82,0.248208,1.000000,656,154720
279,127,0.246967,1.000000,1016,155736
280,80,0.245733,1.000000,640,156376
281,78,0.244504,1.000000,624,157000
282,107,0.243281,1.000000,856,157856
283,82,0.242065,1.000000,656,158512
284,94,0.240855,1.000000,752,159264
285,109,0.239650,1.000000,872,160136
286,104,0.238452,1.000000,832,160968
287,64,0.237260,1.000000,512,161480
288,76,0.236074,1.000000,608,162088
289,132,0.234893,1.000000,1056,163144
290,106,0.233719,1.000000,848,163992
291,119,0.232550,1.000000,952,164944
292,82,0.231387,1.000000,656,165600
293,107,0.230230,1.000000,856,166456
294,94,0.229079,1.000000,752,167208
295,104,0.227934,1.000000,832,168040
296,82,0.226794,1.000000,656,168696
297,130,0.225660,1.000000,1040,169736
298,103,0.224532,1.000000,824,170560
299,143,0.223409,1.000000,1144,171704
300,84,0.222292,1.000000,672,172376
301,83,0.221181,1.000000,664,173040
302,78,0.220075,1.000000,624,173664
303,82,0.218974,1.000000,656,174320
304,93,0.217880,1.000000,744,175064
305,112,0.216790,1.000000,896,175960
306,151,0.215706,1.000000,1208,177168
