episode,batch_episode_steps,epsilon,intrinsic_weight
226,67,0.322119,1.000000
227,52,0.320508,1.000000
228,60,0.318906,1.000000
229,59,0.317311,1.000000
230,72,0.315725,1.000000
231,51,0.314146,1.000000
232,67,0.312575,1.000000
233,53,0.311012,1.000000
234,49,0.309457,1.000000
235,74,0.307910,1.000000
236,66,0.306371,1.000000
237,74,0.304839,1.000000
238,69,0.303315,1.000000
239,74,0.301798,1.000000
240,67,0.300289,1.000000
241,68,0.298788,1.000000
242,63,0.297294,1.000000
243,62,0.295807,1.000000
244,70,0.294328,1.000000
245,66,0.292856,1.000000
246,59,0.291392,1.000000
247,76,0.289935,1.000000
248,72,0.288486,1.000000
249,70,0.287043,1.000000
250,63,0.285608,1.000000
251,74,0.284180,1.000000
252,70,0.282759,1.000000
253,72,0.281345,1.000000
254,68,0.279938,1.000000
255,82,0.278539,1.000000
256,68,0.277146,1.000000
257,74,0.275760,1.000000
258,70,0.274382,1.000000
259,79,0.273010,1.000000
260,76,0.271645,1.000000
261,72,0.270286,1.000000
262,74,0.268935,1.000000
263,74,0.267590,1.000000
264,79,0.266252,1.000000
265,72,0.264921,1.000000
266,78,0.263596,1.000000
267,80,0.262278,1.000000
268,77,0.260967,1.000000
269,75,0.259662,1.000000
270,72,0.258364,1.000000
271,78,0.257072,1.000000
272,74,0.255787,1.000000
273,80,0.254508,1.000000
274,68,0.253235,1.000000
275,84,0.251969,1.000000
276,80,0.250709,1.000000
277,78,0.249456,1.000000
278,82,0.248208,1.000000
279,75,0.246967,1.000000
280,74,0.245733,1.000000
281,91,0.244504,1.000000
282,84,0.243281,1.000000
283,80,0.242065,1.000000
284,80,0.240855,1.000000
285,82,0.239650,1.000000
286,74,0.238452,1.000000
287,80,0.237260,1.000000
288,80,0.236074,1.000000
289,70,0.234893,1.000000
290,79,0.233719,1.000000
291,75,0.232550,1.000000
292,82,0.231387,1.000000
293,82,0.230230,1.000000
294,80,0.229079,1.000000
295,80,0.227934,1.000000
296,88,0.226794,1.000000
297,116,0.225660,1.000000
298,82,0.224532,1.000000
299,72,0.223409,1.000000
300,80,0.222292,1.000000
301,81,0.221181,1.000000
302,78,0.220075,1.000000
303,84,0.218974,1.000000
304,80,0.217880,1.000000
305,92,0.216790,1.000000
306,78,0.215706,1.000000
307,78,0.214628,1.000000
308,86,0.213555,1.000000
309,82,0.212487,1.000000
310,78,0.211424,1.000000
311,84,0.210367,1.000000
312,76,0.209315,1.000000
313,86,0.208269,1.000000
314,82,0.207227,1.000000
315,80,0.206191,1.000000
316,76,0.205160,1.000000
317,84,0.204135,1.000000
318,79,0.203114,1.000000
319,78,0.202098,1.000000
320,81,0.201088,1.000000
321,80,0.200082,1.000000
322,86,0.199082,1.000000
323,77,0.198087,1.000000
324,82,0.197096,1.000000
325,92,0.196111,1.000000
326,82,0.195130,1.000000
327,119,0.194154,1.000000
328,82,0.193184,1.000000
329,82,0.192218,1.000000
330,95,0.191257,1.000000
331,84,0.190300,1.000000
332,84,0.189349,1.000000
333,82,0.188402,1.000000
334,86,0.187460,1.000000
335,88,0.186523,1.000000
336,90,0.185590,1.000000
337,86,0.184662,1.000000
338,90,0.183739,1.000000
339,88,0.182820,1.000000
340,80,0.181906,1.000000
341,85,0.180997,1.000000
342,88,0.180092,1.000000
343,78,0.179191,1.000000
344,82,0.178295,1.000000
345,84,0.177404,1.000000
346,81,0.176517,1.000000
347,111,0.175634,1.000000
348,114,0.174756,1.000000
349,90,0.173882,1.000000
350,82,0.173013,1.000000
351,88,0.172148,1.000000
352,86,0.171287,1.000000
353,86,0.170431,1.000000
354,88,0.169578,1.000000
355,86,0.168731,1.000000
356,85,0.167887,1.000000
357,90,0.167047,1.000000
358,84,0.166212,1.000000
359,86,0.165381,1.000000
